company,location,education,skills_description,job_type,salary,job_experience,job_role,exp_min,exp_max,exp_avg,primary_location,role_category,salary_category,skill_count,experience_level
Huquo Consulting Pvt. Ltd,Delhi NCR,Postgraduate,"Data Quality Process, IT Skills, Oracle, SAP, Business Intelligence, Data Quality, SAP Services, SQL",full-time,790628.0,1-3,Senior Business Analyst/Assistant Manager - Data Quality Analyst,1,3,2.0,Delhi NCR,Business Analyst,5-10 LPA,8,Junior
Huquo Consulting Pvt. Ltd,Delhi NCR,Undergraduate,"NoSQL, RDBMS, SQL, Business Analyst, Database Design, Database Implementation, Data Modeling, Database Architecture",full-time,1672173.0,3-5,Business Analyst/ Sr. Business Analyst / Asst. Manager - Data Modeling,3,5,4.0,Delhi NCR,Business Analyst,15-20 LPA,8,Mid-Level
Huquo Consulting Pvt. Ltd,Gurugram,Undergraduate,"Business Intelligence Tools, Retail Banking, Credit Card Domain, SAS, Data Analysis, Data Analytics, Statistics, Verbal Communication",contract,1201197.0,0-2,Senior Analyst - Data Analytics,0,2,1.0,Gurugram,Senior Analyst - Data Analytics,10-15 LPA,8,Fresher
UnitedLex,"Gurugram, Bengaluru",Postgraduate,"python, Advance excel, VBA, SQL, Data developer, Macro, Data wrangling, Data engineer",full-time,,2-4,Data Engineer ( Python & SQL) || Cyber Incident Response,2,4,3.0,Gurugram,Data Engineer,,8,Junior
Pricewater House Coopers Service Delivery Center Bangalore Private Limited,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi NCR, Mumbai",Undergraduate,"Hive, python, Spark, Migration, ANSI, HDFS, MapR, Pig",full-time,735526.0,0-2,Hiring For Big Data Engineer,0,2,1.0,Kolkata,Data Engineer,5-10 LPA,8,Fresher
Cyient,"Noida, Hyderabad, Pune, Bengaluru",Postgraduate,"IT Skills, Python, Elastic Search, Big Data, AWS, Tableau, Power BI, Linux",full-time,1489652.0,7-8,Big Data Developer / Engineer,7,8,7.5,Noida,Big Data Developer / Engineer,10-15 LPA,8,Senior
EY,"Pune, Bengaluru, Noida",Undergraduate,"Azure Databricks, azure data factory, SQL, IT Skills, Software Development, Cloud, Oracle, AWS",contract,1921896.0,0-5,Azure Data Factory Engineer,0,5,2.5,Pune,Azure Data Factory Engineer,15-20 LPA,8,Junior
CRED,Bengaluru,Postgraduate,"Data Modelling, Data Pipeline, Scala, Data Scientist, Hadoop, Data Engineer, Spark, Aws",contract,1816678.0,4-5,Data Engineer,4,5,4.5,Bengaluru,Data Engineer,15-20 LPA,8,Mid-Level
EY,"Kolkata, Chennai, Bengaluru",Undergraduate,"Azure data engineer, Spark, ETL, Python, IT Skills, Java, Big Data",full-time,313312.0,3-4,Join EY GDS - Azure Data Engineers,3,4,3.5,Kolkata,Data Engineer,<5 LPA,7,Mid-Level
Hexaware Technologies,"Pune, Chennai, Bengaluru, Mumbai",Undergraduate,"big data, Databricks, SFTP, SCALA, pyspark, Spark",full-time,1375919.0,5-7,Big Data Engineer,5,7,6.0,Pune,Data Engineer,10-15 LPA,6,Senior
Brillio,Bengaluru,Postgraduate,"Java, GCP, SQL, IT Skills, Python, Software Development, Cloud",full-time,1207470.0,4-6,Gcp Data Engineer,4,6,5.0,Bengaluru,Data Engineer,10-15 LPA,7,Mid-Level
Accenture,Bengaluru,Postgraduate,"Data analysis, Consulting, Troubleshooting, Macros, Monitoring, Base SAS, Process automation, Risk analytics",full-time,350262.0,3-5,SAS Base & Macros Digital Data Engineering Practitioner,3,5,4.0,Bengaluru,Data Engineer,<5 LPA,8,Mid-Level
IBM,Bengaluru,Undergraduate,"Unix, Data analysis, Data validation, Business intelligence, Analytics, IT Skills, Testing, Tableau",full-time,1645269.0,6-7,Data Engineer: Business Intelligence,6,7,6.5,Bengaluru,BI Engineer,15-20 LPA,8,Senior
IBM,Bengaluru,Postgraduate,"Java web services, Application development, Asset management, Enterprise content management, SQL, IT Skills, Java, Javascript",contract,486938.0,7-8,Data Engineer: Enterprise Content Management,7,8,7.5,Bengaluru,Data Engineer,<5 LPA,8,Senior
Accenture,Bengaluru,Undergraduate,"Computer science, Configuration management, Consulting, SQL, Python, communication, Spark, Ansible",full-time,1473509.0,1-3,Data Engineering Application Developer,1,3,2.0,Bengaluru,Data Engineer,10-15 LPA,8,Junior
IBM,Bengaluru,Undergraduate,"Production support, XML, Javascript, XSLT, microsoft, C#, Filenet, Agile",contract,2317900.0,0-1,Data Engineer: Enterprise Content Management,0,1,0.5,Bengaluru,Data Engineer,>20 LPA,8,Fresher
Tide Software,Bengaluru,Undergraduate,"IT Skills, Python, Testing, AWS, Performance tuning, Coding, Unit testing, Apache",full-time,611156.0,7-8,Data Warehouse Engineer,7,8,7.5,Bengaluru,Data Warehouse Engineer,5-10 LPA,8,Senior
Neustar,Bengaluru,Undergraduate,"Unix, Front end, Database design, MySQL, Shell scripting, OLAP, data mapping, Oracle",contract,948928.0,5-6,Data Engineer,5,6,5.5,Bengaluru,Data Engineer,5-10 LPA,8,Senior
UPL,"Bengaluru, Mumbai",Postgraduate,"qa data, Data Architecture, QA data engineer, qa data management, IT Skills, Python, Software Development, Testing",contract,1238398.0,3-4,QA Data Engineer,3,4,3.5,Bengaluru,Data Engineer,10-15 LPA,8,Mid-Level
IBM,Bengaluru,Not Specified,"RDBMS, Coding, Datastage, Agile, Python, Data migration, NoSQL, Debugging",contract,,2-4,Data Engineer: Data Warehouse,2,4,3.0,Bengaluru,Data Engineer,,8,Junior
IBM,Bengaluru,Undergraduate,"microsoft, Data warehousing, SQL, Data architecture, Python, Data migration, github, Version control",contract,1709557.0,3-7,Data Engineer: Big Data,3,7,5.0,Bengaluru,Data Engineer,15-20 LPA,8,Mid-Level
IBM,Bengaluru,Not Specified,"Unix, MIS, Datastage, Informatica, Business intelligence, Ab Initio software, ETL, data warehouse",contract,1115768.0,4-5,Data Engineer: Data Integration,4,5,4.5,Bengaluru,Data Engineer,10-15 LPA,8,Mid-Level
IBM,Bengaluru,Undergraduate,"Unix, MIS, Informatica, Business intelligence, Operations, Axon, communication, WebSphere Data Integration Suite",contract,1260254.0,4-6,Data Engineer: Data Integration,4,6,5.0,Bengaluru,Data Engineer,10-15 LPA,8,Mid-Level
Walmart,Bengaluru,Undergraduate,"IT Skills, Python, Testing, Cloud, AWS, Tableau, Power BI, Computer science",full-time,1249988.0,7-8,Staff Data Engineer - Data Analytics & Reporting,7,8,7.5,Bengaluru,Data Engineer,10-15 LPA,8,Senior
Cargill,Bengaluru,Not Specified,"Coding, Application programming, power bi, big data, Application software, Information technology, Technical support, Reporting tools",contract,1518546.0,5-7,Data Engineer,5,7,6.0,Bengaluru,Data Engineer,15-20 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"data cleansing, Interpersonal skills, Time management, Operations, Unix shell scripting, designing and developing extract, agile, Unix",Not Specified,,5-6,Data Engineer: Data Integration,5,6,5.5,Bengaluru,Data Engineer,,8,Senior
IBM,Bengaluru,Not Specified,"data cleansing, Interpersonal skills, Time management, Creative designing, Operations",contract,748329.0,1-5,Data Engineer: Data Integration,1,5,3.0,Bengaluru,Data Engineer,5-10 LPA,5,Junior
IBM,Bengaluru,Undergraduate,"Computer science, Data management, Healthcare, Data quality, SQL, Database design, Claims adjudication, Consulting",full-time,1629974.0,1-2,Data Engineer,1,2,1.5,Bengaluru,Data Engineer,15-20 LPA,8,Junior
IBM,Bengaluru,Undergraduate,"data cleansing, Interpersonal skills, Time management, Creative designing, Operations, designing and developing extract, agile, Unix",full-time,2105396.0,3-5,Data Engineer: Data Integration,3,5,4.0,Bengaluru,Data Engineer,>20 LPA,8,Mid-Level
IBM,Bengaluru,Postgraduate,"Unix, Cloud computing, MIS, big data, Python, Interpersonal skills, Time management, Creative designing",full-time,370118.0,1-7,Data Engineer: Data Integration,1,7,4.0,Bengaluru,Data Engineer,<5 LPA,8,Mid-Level
Visa,Bengaluru,Undergraduate,"software development, Cloud Data Stacks, Hive, Tez, Kubernetes, Cloud Data, Python, Spark",full-time,550618.0,1-7,Staff Data Engineer,1,7,4.0,Bengaluru,Data Engineer,5-10 LPA,8,Mid-Level
Visa,Bengaluru,Undergraduate,"Computer science, NoSQL, Coding, SCALA, Agile, MongoDB, test driven development, Open source",contract,357196.0,4-6,Staff Data Engineer,4,6,5.0,Bengaluru,Data Engineer,<5 LPA,8,Mid-Level
IBM,Bengaluru,Undergraduate,"Cloud computing, Eclipse, SCALA, big data, Python, Interpersonal skills, GIT, Time management",full-time,1898763.0,5-7,Data Engineer: Big Data,5,7,6.0,Bengaluru,Data Engineer,15-20 LPA,8,Senior
IBM,Bengaluru,Undergraduate,"Business analysis, Data modeling, Agile, Teradata, Monitoring, Data modelling, Hadoop, Unix Shell Scripting",full-time,1193416.0,0-3,Data Engineer: Data Modeling,0,3,1.5,Bengaluru,Data Engineer,10-15 LPA,8,Junior
IBM,Bengaluru,Postgraduate,"Business analysis, Data modeling, Agile, Teradata, Monitoring, Hive, Unix Shell Scripting, Hadoop",full-time,2167181.0,0-3,Data Engineer: Data Modeling,0,3,1.5,Bengaluru,Data Engineer,>20 LPA,8,Junior
IBM,Bengaluru,Not Specified,"Cloud computing, Hadoop, Cloud, big data, Python, spark, Hive, Java",full-time,535071.0,2-6,Data Engineer: Big Data,2,6,4.0,Bengaluru,Data Engineer,5-10 LPA,8,Mid-Level
IBM,Bengaluru,Postgraduate,"Business process, Coding, Datastage, Business intelligence, Unix shell scripting, IT Skills, Testing, data cleansing",full-time,2110940.0,7-8,Data Engineer: Data Integration,7,8,7.5,Bengaluru,Data Engineer,>20 LPA,8,Senior
IBM,Bengaluru,Postgraduate,"Business analysis, Data modeling, Agile, Teradata, Monitoring, IT Skills, Java, Python",contract,1329178.0,7-8,Data Engineer: Data Modeling,7,8,7.5,Bengaluru,Data Engineer,10-15 LPA,8,Senior
Airbnb,Bengaluru,Postgraduate,"Data Science, Java, Hive, Data Pipeline, Software Engineering, Scala, Data Analytics, Spark Streaming",full-time,,1-7,Data Engineer,1,7,4.0,Bengaluru,Data Engineer,,8,Mid-Level
Siemens,Chennai,Postgraduate,"Hibernate, Tomcat, GIT, RDBMS, Analytical, Consulting, JDBC, JPA",contract,1173720.0,7-8,Software Developer - Knowledge Graph Data Engineer,7,8,7.5,Chennai,Data Engineer,10-15 LPA,8,Senior
AdviserLogic,Mumbai,Undergraduate,"IT Skills, Python, Automation, Corporate actions, Data management, Analytical, Data collection, Workflow",full-time,900862.0,7-8,Lead Data Analyst,7,8,7.5,Mumbai,Data Analyst,5-10 LPA,8,Senior
Accenture,Bengaluru,Undergraduate,"SQL, Python, written communication, ETL, databases administration, prep, IT Skills, Testing",full-time,1817967.0,7-8,Ecosystem Junior Data Engineer,7,8,7.5,Bengaluru,Data Engineer,15-20 LPA,8,Senior
Wipro,"Pune, Bengaluru",Postgraduate,"Hive, SCALA, Big Data, core java, Spark, HBase",full-time,2431041.0,0-4,Big Data Developer/Lead,0,4,2.0,Pune,Big Data Developer/Lead,>20 LPA,6,Junior
Harmony Data Integration Technologies,Mohali,Undergraduate,"Python, IT Skills, Java, Cloud, Programming, Data Analyst, SQL, Data Integration",contract,,5-6,Junior Data Engineer,5,6,5.5,Mohali,Data Engineer,,8,Senior
KARYA CONSULTANTS PRIVATE LIMITED,Bengaluru,Postgraduate,"Agile, Data Analytics, IT Skills, Testing, Data Analysis",full-time,,4-5,Senior Data Analyst/BI Developer,4,5,4.5,Bengaluru,Data Analyst,,5,Mid-Level
Ally - eXecutive.com,Bengaluru,Postgraduate,"statistical testing, marketing analytics, campaign execution, Tableau reporting, model scoring, Data analyst, R, SAS",contract,989731.0,6-7,Data Analyst/ Senior Data analyst,6,7,6.5,Bengaluru,Data Analyst,5-10 LPA,8,Senior
Smart Cube,Noida,Postgraduate,"SAS, Data management, MS Access, Project management, Consulting, VB, Oracle, Financial services",contract,2472191.0,6-7,Senior Analyst Data Analytics,6,7,6.5,Noida,Senior Analyst Data Analytics,>20 LPA,8,Senior
GSK India,Bengaluru,Undergraduate,"Procurement, Networking, Data management, Analytical, Pharma, Active directory, Healthcare, Analytics",full-time,1929031.0,5-6,Data analyst,5,6,5.5,Bengaluru,Data Analyst,15-20 LPA,8,Senior
AMPLIFY ANALYTIX INDIA PRIVATE LIMITED,Bengaluru,Undergraduate,"tableau, PDF, data science, Business Data Analyst, Analytical, Statistical software, SPSS, international clients",full-time,1122234.0,7-8,Business Data Analyst,7,8,7.5,Bengaluru,Data Analyst,10-15 LPA,8,Senior
SAP India Pvt.Ltd,Bengaluru,Postgraduate,"Data Management, IT Skills, Java, Python, Data Science, Machine Learning, Cloud, Project Management",contract,2071893.0,2-4,Data Management and Landscape Transformation Senior Consultant,2,4,3.0,Bengaluru,Data Management and Landscape Transformation Senior Consultant,>20 LPA,8,Junior
SAP India Pvt.Ltd,Bengaluru,Undergraduate,"SAP S/4HANA, IT Skills, Java, Python, Machine Learning, Cloud, Project Management, SAP",full-time,653131.0,6-7,Data Management and Landscape Transformation Senior Consultant,6,7,6.5,Bengaluru,Data Management and Landscape Transformation Senior Consultant,5-10 LPA,8,Senior
milestone internet marketing pvt ltd,"Ahmedabad, Bengaluru",Postgraduate,"Google Analytics, Project Management, Google Adwords, Data Analysis, Search Engine, Digital Marketing, Sem, Data Analyst",full-time,870081.0,0-4,Data Analyst,0,4,2.0,Ahmedabad,Data Analyst,5-10 LPA,8,Junior
TEKARCH TECHNOLOGY PRIVATE LIMITED,"Ahmedabad, Bengaluru, Mumbai",Undergraduate,"Gcp Cloud, RDMS, ELT, GCS, SQLServer, Dataproc, Oracle, DWH",Not Specified,1793396.0,3-4,GCP Data Analyst,3,4,3.5,Ahmedabad,Data Analyst,15-20 LPA,8,Mid-Level
VERTICURL MARKETING PRIVATE LIMITED,"Coimbatore, Bengaluru",Not Specified,"data analyst, SQL, BPO, technical support, data analysis, data modeling, SFMC, SSJS",Not Specified,622740.0,6-7,Immediate opening For GCP - Data Analyst / Specialist,6,7,6.5,Coimbatore,Data Analyst,5-10 LPA,8,Senior
Xpheno,"Mumbai, Hyderabad, Pune, Chennai, Bengaluru",Undergraduate,"Microstrategy, Computer science, tableau, Excel, SQL database, Business Analyst, Data Analyst, Customer service",full-time,399078.0,1-6,Business Analyst (Data Analyst role),1,6,3.5,Mumbai,Business Analyst,<5 LPA,8,Mid-Level
Philips,Bengaluru,Not Specified,"Computer science, Change management, Data management, Performance management, Data modeling, Project management, Machine learning, Database administration",full-time,867294.0,3-5,Senior Data Architect,3,5,4.0,Bengaluru,Senior Data Architect,5-10 LPA,8,Mid-Level
Cargill,Bengaluru,Postgraduate,"Business process, Computer science, advanced analytics, Data analysis, data science, power bi, Data analytics, data visualization",full-time,2393143.0,7-8,Data Analytics and Insights Senior Consultant,7,8,7.5,Bengaluru,Data Analytics and Insights Senior Consultant,>20 LPA,8,Senior
Myntra,Bengaluru,Undergraduate,"Analytical skills, Process orientation, Senior management, Conceptualization, Data Analyst, Data analytics, data visualization, Monitoring",full-time,1551284.0,4-5,Data Analyst,4,5,4.5,Bengaluru,Data Analyst,15-20 LPA,8,Mid-Level
FutureSoft (India),Bengaluru,Postgraduate,"data analysis, data migration, Source System Analysis, data warehouse, Business Analysis, Requirement gathering, SQL, data mapping",contract,801449.0,3-4,Guidewire Data Business Analyst,3,4,3.5,Bengaluru,Business Analyst,5-10 LPA,8,Mid-Level
Moody's,Bengaluru,Postgraduate,"Ratio analysis, Financial Statements, Capital Market, Accounting, Finance, Financial Statement Analysis, Data Analysis, Trend Analysis",full-time,1155409.0,1-2,Financial Data Analyst - FIG,1,2,1.5,Bengaluru,Data Analyst,10-15 LPA,8,Junior
Synechron,"Hyderabad, Pune",Undergraduate,"hadoop, Data, jupyter, Flask, Tableau, Elasticsearch, Visualisation, Spark",contract,491756.0,7-8,Hiring Data Analyst For Pune & Hyderabad,7,8,7.5,Hyderabad,Data Analyst,<5 LPA,8,Senior
TrueCover,Bengaluru,Postgraduate,"Analytical skills, Data analysis, Visual Basic, Excel, Business Analyst, Consulting, Data analytics, Troubleshooting",contract,810251.0,6-7,Data/Business Analyst,6,7,6.5,Bengaluru,Business Analyst,5-10 LPA,8,Senior
Moody's,Bengaluru,Undergraduate,"accounting, Financial Data Analyst, Finance, financial statement analysis",full-time,894584.0,1-6,Financial Data Analyst,1,6,3.5,Bengaluru,Data Analyst,5-10 LPA,4,Mid-Level
Denave India Pvt Ltd.,Bengaluru,Postgraduate,"Data Visualizations, Power Bi, Tableau, Data Science, Analytics Data, Advance excel, data analysis, Business Analytics",full-time,,1-4,Denave Hiring Data Analyst Bengaluru Location,1,4,2.5,Bengaluru,Data Analyst,,8,Junior
Shiras HR Advisory & Services,Bengaluru,Undergraduate,"Usage, Business Data Analyst, power bi, data visualization, Management, Statistics, Analytics, Financial services",contract,1901792.0,1-2,Business Data Analyst,1,2,1.5,Bengaluru,Data Analyst,15-20 LPA,8,Junior
Multi Recruit,Bengaluru,Postgraduate,"Google Analytics, Database design, Process improvement, Predictive modeling, Data mining, Business intelligence, Business solutions, MATLAB",full-time,,3-7,Business Data Analyst,3,7,5.0,Bengaluru,Data Analyst,,8,Mid-Level
Avanze Technologies India Pvt. Ltd.,Bengaluru,Postgraduate,"Power BI, Tableau, Informatic, DOMO, Data Analysts with Business Analysis, IT Skills, SQL queries, Excel",full-time,672339.0,2-6,Data Analysts with Business Analysis,2,6,4.0,Bengaluru,Data Analyst,5-10 LPA,8,Mid-Level
TalentStack,Bengaluru,Postgraduate,"Data Management, Data Analytics, Analytics, Business Analysis, SQL, Python",contract,900821.0,5-6,Business/ Data/ Product/ Analyst - Analytics - eCommerce- IIT/NIT/BITS,5,6,5.5,Bengaluru,Business/ Data/ Product/ Analyst - Analytics - eCommerce- IIT/NIT/BITS,5-10 LPA,6,Senior
Myntra,Bengaluru,Not Specified,"Business Intelligence, Excel, Mis, Data Extraction, Campaign Management, Dashboards, Performance Reporting, Store Management",contract,1597534.0,3-7,Data Analyst,3,7,5.0,Bengaluru,Data Analyst,15-20 LPA,8,Mid-Level
Myntra,Bengaluru,Postgraduate,"Business Analyst, Problem Solving, Advanced Excel, Data Analyst, Dashboards, Analytics, Sql, Ba",contract,2016514.0,7-8,Data Analyst,7,8,7.5,Bengaluru,Data Analyst,>20 LPA,8,Senior
Myntra,Bengaluru,Postgraduate,"Communication Skills, R, Excel, Data Analyst, Verbal Communication, Analytics, Sql, Python",contract,1599306.0,1-3,Data Analyst,1,3,2.0,Bengaluru,Data Analyst,15-20 LPA,8,Junior
Myntra,Bengaluru,Postgraduate,"Communication Skills, Excel, Problem Solving, Data Visualization, Data Analyst, Reporting, Sql, Python",contract,597184.0,1-3,Data Analyst,1,3,2.0,Bengaluru,Data Analyst,5-10 LPA,8,Junior
Myntra,Bengaluru,Postgraduate,"R, Sales, Power Bi, Data Visualization, Data Analyst, Tableau, Python, Sql",contract,2303410.0,1-2,Data Analyst,1,2,1.5,Bengaluru,Data Analyst,>20 LPA,8,Junior
Myntra,Bengaluru,Postgraduate,"Communication Skills, R, Data Analyst, Ms Excel, Management, Verbal Communication, Analytics, Python",full-time,485890.0,3-5,Data Analyst,3,5,4.0,Bengaluru,Data Analyst,<5 LPA,8,Mid-Level
Myntra,Bengaluru,Not Specified,"Communication Skills, R, Data Analyst, Ms Excel, Verbal Communication, Analytics, Sql, Python",contract,1677505.0,5-6,Data Analyst,5,6,5.5,Bengaluru,Data Analyst,15-20 LPA,8,Senior
Myntra,Bengaluru,Postgraduate,"R, Business Analyst, Power Bi, Bi Tools, Data Visualization, Data Analyst, Tableau, Python",Not Specified,1470567.0,0-4,Data Analyst,0,4,2.0,Bengaluru,Data Analyst,10-15 LPA,8,Junior
Myntra,Bengaluru,Undergraduate,"Sales, Marketing Initiatives, Reconciliation, Data Management, Marketing Campaigns, Advanced Excel, Data Analyst, Forecasting",full-time,1576862.0,3-5,Data Analyst,3,5,4.0,Bengaluru,Data Analyst,15-20 LPA,8,Mid-Level
Cleartrip,Bengaluru,Not Specified,"excel, python, data analysis, power bi, sql, analytics, product strategy, product marketing",contract,1781854.0,2-4,Data Analyst,2,4,3.0,Bengaluru,Data Analyst,15-20 LPA,8,Junior
Smartstream Technologies India Private Limited,Bengaluru,Not Specified,"Equity, Derivatives, Fixed Income, SQL, Python, Java, Corporate Actions, Unix Shell Scripting",full-time,2282296.0,2-3,Data Quality Analyst (Work from Office- Hybrid),2,3,2.5,Bengaluru,Data Quality Analyst (Work from Office- Hybrid),>20 LPA,8,Junior
Wipro,"Hyderabad, Pune, Chennai",Undergraduate,"REST API, Json, Apache Spark, Java framework, Data Modelling, Hadoop, Data Analysis, Hive",contract,1500005.0,0-1,Data Analyst,0,1,0.5,Hyderabad,Data Analyst,15-20 LPA,8,Fresher
Fine Homes and Interior,"Mohali, Chandigarh, Pune",Postgraduate,"Data Processing, Data Entry",full-time,1274250.0,7-8,Urgent hiring For real estate data analyst WFH,7,8,7.5,Mohali,Data Analyst,10-15 LPA,2,Senior
Shell,Bengaluru,Undergraduate,"Data analysis, MS Azure, Data Lakes, Site Operation, stakeholder management, POS, BOS, Wet Stock Business",full-time,1536830.0,7-8,Business Analyst - Data,7,8,7.5,Bengaluru,Business Analyst,15-20 LPA,8,Senior
Compunnel Technology India Private Limited,Remote,Not Specified,"data science, Data, data quality, data analysis, Data Interpretation, MDM, AI, business analysis",full-time,540477.0,6-7,Business Analyst / Data Analyst,6,7,6.5,Remote,Business Analyst,5-10 LPA,8,Senior
Adidas,Gurugram,Postgraduate,"global operations, Business administration, Data analysis, Data modeling, Analytical, Brand marketing, Data Analyst, data visualization",contract,2493387.0,0-3,Data Analyst,0,3,1.5,Gurugram,Data Analyst,>20 LPA,8,Junior
TalentStack,Bengaluru,Not Specified,"R, Advanced SQL, Python, Data Management, Advanced Excel, Analytics, Business Analysis",contract,1178230.0,4-6,Business / Data/ Product / Analyst - Analytics - IIT/ NIT/ BITS,4,6,5.0,Bengaluru,Business / Data/ Product / Analyst - Analytics - IIT/ NIT/ BITS,10-15 LPA,7,Mid-Level
referral,Bengaluru,Not Specified,"Analytical skills, Process orientation, Senior management, Conceptualization, Data Analyst, Data analytics, data visualization, Monitoring",contract,1854911.0,4-5,Data Analyst,4,5,4.5,Bengaluru,Data Analyst,15-20 LPA,8,Mid-Level
referral,Bengaluru,Undergraduate,"Supply chain, Process orientation, Conceptualization, Market research, Data Analyst, data visualization, Stakeholder management, Monitoring",full-time,2067425.0,1-7,Data Analyst,1,7,4.0,Bengaluru,Data Analyst,>20 LPA,8,Mid-Level
K12 Techno Services,Bengaluru,Postgraduate,"Pivot Table, advanced excel, VLOOKUP, Formulas, Data Analysis, Charts, sales analytics",contract,1248878.0,7-8,MIS Data Analyst (Sales Analytics) - Bangalore,7,8,7.5,Bengaluru,Data Analyst,10-15 LPA,7,Senior
Western Digital,Bengaluru,Postgraduate,"Data analysis, tableau, Visual Basic, Compliance, VLOOKUP, Data analytics, Management, SQL",contract,2412702.0,3-4,"Analyst, Ethics and Compliance Data Analytics and Monitoring",3,4,3.5,Bengaluru,"Analyst, Ethics and Compliance Data Analytics and Monitoring",>20 LPA,8,Mid-Level
AARNA HR SOLUTIONS PVT. LTD.,Bengaluru,Postgraduate,"ERP, SAP, SAS, Business Data Analyst, XML, SPSS, Oracle, Data mining",Not Specified,426423.0,3-5,Business Data Analyst,3,5,4.0,Bengaluru,Data Analyst,<5 LPA,8,Mid-Level
K12 Techno Services Pvt Ltd,Bengaluru,Postgraduate,"Data Analysis, Managing, addressing, software solution, communication skills",contract,615315.0,5-6,Data Analyst - IIM/ISB/MDI/FMS/SP Jain,5,6,5.5,Bengaluru,Data Analyst,5-10 LPA,5,Senior
Siemens Gamesa Renewable Energy,Bengaluru,Undergraduate,"Data analysis, Excel, Financial reporting, VBA, Coding, IT skills, Process Expert, Siemens",contract,1245313.0,6-7,Data Analyst,6,7,6.5,Bengaluru,Data Analyst,10-15 LPA,8,Senior
Uber,Hyderabad,Undergraduate,"Product management, Product quality, Text mining, Data analysis, Hypothesis Testing, Data structures, data visualization, Business intelligence",full-time,2239019.0,5-7,"Data Analyst II, Tech",5,7,6.0,Hyderabad,Data Analyst,>20 LPA,8,Senior
Myntra,Bengaluru,Not Specified,"Supply chain, Process orientation, Conceptualization, Market research, Data Analyst, data visualization, Stakeholder management, Monitoring",contract,413863.0,1-7,Data Analyst,1,7,4.0,Bengaluru,Data Analyst,<5 LPA,8,Mid-Level
Lennox India Technology Centre,Chennai,Postgraduate,"Mining, Computer science, Google Analytics, Data management, Data modeling, Analytical, Data collection, Data quality",Not Specified,713597.0,2-4,Business Data Analyst,2,4,3.0,Chennai,Data Analyst,5-10 LPA,8,Junior
Alphonso Inc.,Bengaluru,Undergraduate,"Analytical, Ad operations, Data Analyst, Account management, Campaigns, Management, Advertising, digital advertising",contract,532024.0,4-5,Business and Data Analyst - Alphonso,4,5,4.5,Bengaluru,Data Analyst,5-10 LPA,8,Mid-Level
Myntra,Bengaluru,Undergraduate,"Data analysis, Interpersonal skills, Excel, Revenue planning, Data Analyst, Revenue management, Management, Analytics",contract,1904567.0,5-6,Data Analyst,5,6,5.5,Bengaluru,Data Analyst,15-20 LPA,8,Senior
Write Academy,Chennai,Not Specified,"NoSQL, cassandra, spark, MySQL, big data analyst, MongoDB, Oracle, SQL",contract,2077362.0,1-4,Big Data Analyst - Part time,1,4,2.5,Chennai,Data Analyst,>20 LPA,8,Junior
Faaso's,Mumbai,Undergraduate,"MIS reporting, Hospitality, Automation, tableau, Manager Technology, power bi, Gap analysis, data visualization",Not Specified,1295657.0,6-8,Data Visualization / Analyst,6,8,7.0,Mumbai,Data Visualization / Analyst,10-15 LPA,8,Senior
RPA Infotech Pvt.Ltd,Gurugram,Not Specified,"BPO, data analysis, MS SQL, Excel, Bfsi, Business analytics, Postgresql, MySQL",contract,768172.0,2-4,Data Analyst,2,4,3.0,Gurugram,Data Analyst,5-10 LPA,8,Junior
Accenture,Mumbai,Undergraduate,"Consulting, Financial operations, Client relationship, professional services, Operations, data science",full-time,786145.0,1-2,Analyst-Finance Data Maintenance,1,2,1.5,Mumbai,Analyst-Finance Data Maintenance,5-10 LPA,6,Junior
Deutsche Bank,Jaipur,Postgraduate,"Root cause analysis, Change management, Diversity and Inclusion, International taxation, Taxation, Training and Development, Continuous improvement, Stakeholder management",contract,1803020.0,1-5,"Analyst / Reference Data Analyst, NCT",1,5,3.0,Jaipur,Data Analyst,15-20 LPA,8,Junior
Optum,Noida,Postgraduate,"Snowflake, Alteryx, Data Analysis, SQL Queries, Technology Solutions, Technical Leadership, Tableau, ETL",full-time,1380609.0,3-5,"Data Analyst - SQL SSIS and Snowflake - Noida, UP",3,5,4.0,Noida,Data Analyst,10-15 LPA,8,Mid-Level
Google,Hyderabad,Undergraduate,"analysis, Computer science, Data analysis, Coding, Machine learning, Javascript, PHP, Analytics",contract,1754376.0,6-8,"Data Analyst, Trust and Safety, Payments",6,8,7.0,Hyderabad,Data Analyst,15-20 LPA,8,Senior
Accenture,Mumbai,Undergraduate,"Publishing, Artificial Intelligence, Consulting, microsoft, SQL, Architecture, power bi, Data analytics",full-time,,4-6,Analyst-Data Visualization,4,6,5.0,Mumbai,Analyst-Data Visualization,,8,Mid-Level
Accenture,Mumbai,Undergraduate,"Publishing, Data management, Consulting, SQL, Python, IT Skills, Artificial Intelligence, Cloud",contract,1664443.0,3-6,Analyst-Data Management,3,6,4.5,Mumbai,Analyst-Data Management,15-20 LPA,8,Mid-Level
Pine Labs,Delhi NCR,Not Specified,"Excel, SQL, SAS, XML, Data Analysis, Javascript, Business Objects, SPSS",Not Specified,1945234.0,6-7,Data Analyst,6,7,6.5,Delhi NCR,Data Analyst,15-20 LPA,8,Senior
