company,location,education,skills_description,job_type,salary,job_experience,job_role
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"RDBMS, SOAP services, C#, Selenium Web driver, Appium, Test Automation, Java, NodeJS",Not Specified,1182762.0,6-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"IT Skills, Testing, Javascript, Engineering services, SAN, DOM, GIT, Social media",full-time,2289545.0,7-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"Illustrator, UX, Adobe Suite, Sketch, Invision App, Photoshop, Zeplin, UI",full-time,2387493.0,3-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"CoreLocation, Singleton, memory management, Cocoapods, object - oriented, GIT, communication, analytical",Not Specified,576066.0,0-1,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Cloud, AWS, Engineering services, SAN, NoSQL, Technical writing, Agile",contract,2425051.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"communication, Android design, Java, Android coding, JSON, Espresso, Hudson, SQLite",contract,723168.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"MobX, JSON, MySQL, NPM, Mercurial, Flux, AWS, Mocha",Not Specified,1579235.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"oral, Web Service, SDLC, Agile, test case, API testing, SE, Jira",contract,1609449.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"Amazon Web services, Java, API Automation, GIT, selenium, TestNG, python, Continuous testing",Not Specified,1077816.0,3-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Postgraduate,"IT Skills, Java, Software Development, Testing, Selenium, Performance Testing, Automation, RDBMS",full-time,,1-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"Printing, Engineering services, Analytical skills, Business analysis, Analytical, Agile, Market research, Product design",contract,1860928.0,0-2,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Testing, Cloud, React.js, HTML, CSS, Javascript, SAN",full-time,1919847.0,3-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"Jira, SNS, Jenkins, EC2, CI / CD, AWS, microservices, communication",full-time,1604763.0,4-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"TCP, SAN, Automation, Linux, Networking, Configuration management, Agile, DNS",contract,1200456.0,3-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"MySQL, object - oriented, NoSQL, HTML, Angular JS, Java, J2EE, React JS",full-time,1020325.0,0-1,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"JIRA, SE, SDLC, MySQL, Java, Selenium, STLC, Agile",contract,2409787.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"S3, CircleCI, NLB, Elasticache, Rake, written, SDLC, ALB",contract,480294.0,3-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Java, Software Development, SAN, Maven, Core Java, RDBMS, Coding",full-time,1154262.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"IT Skills, Python, Software Development, Testing, Cloud, DevOps, Jenkins, TCP",full-time,1151151.0,1-2,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"AWS SAM, microservices, verbal communication, Java, SSO, CDN, DevOps, SQL",Not Specified,,7-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"Printing, Engineering services, SAN, Business analysis, Analytical, Market research, Product design, Customer service",contract,1333923.0,6-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"presentation, analytical, communication, Agile methodologies, IT Skills, Product Management, Engineering services, SAN",contract,1591668.0,7-8,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"SAN, DOM, TDD, Debugging, Javascript, Agile, Application security, Customer service",contract,2084235.0,2-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"Engineering services, SAN, MS SQL, GIT, Agile, Business modeling, Customer service, Troubleshooting",full-time,2135655.0,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"Apache Solr, EMR, Jenkins, Kubernetes, AWS Glue, Flask, CloudFormation, Athena",contract,339062.0,0-1,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Postgraduate,"Maven, Selenium, XCUITest, Kotlin, TestNG, Agile, Espresso, Cucumber",contract,386586.0,0-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"communication, Continuous Delivery, agile, written, Drupal, AWS, Node, verbal communication",Not Specified,,6-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"IT Skills, Product Management, Engineering services, Bfsi, Analytical, Agile, Healthcare, Market research",full-time,1021897.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"Communication, Functional Testing, Selenium, Testing, Analytical, SQL, IT Skills, Automation Testing",full-time,532090.0,2-4,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"QA, Engineering services, Business process, SAN, Implementation Analyst, Agile, HTML, Customer service",contract,1917540.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"T - SQL, SSRS, Microsoft SQL Server, Microsoft SQL Server Reporting Services, SQL Server Reporting Services, Power BI, SQL queries, IT Skills",contract,2367884.0,2-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"RESTful, RDBMS, SOAP services, OOPs, Java, Python, Gherkin, JUnit",full-time,2096694.0,6-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Software Development, Engineering services, SAN, Prototype, Agile, Software development life cycle, Manager Technology",Not Specified,1524579.0,4-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"Engineering services, SAN, Customer satisfaction, Agile, Manager Technology, Scrum, Agile methodology, Business modeling",full-time,741447.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Cloud, AWS, Engineering services, SAN, NoSQL, orchestration, Technical writing",contract,2087631.0,5-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Ahmedabad,Postgraduate,"IT Skills, Python, Software Development, Testing, Cloud, RPA, SAN, Agile",full-time,982178.0,2-3,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Java, Python, Testing, Cloud, DevOps, Performance Testing, SAN",contract,621811.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"Jest, React JS, UX, MobX, structure, MySQL, Webpack, NPM",Not Specified,806135.0,0-1,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"JavaScript, JSON, MobX, Angular JS, Webpack, Mercurial, GraphQL, Babel",full-time,2490216.0,0-2,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"SauceLabs, JavaScript, Software Testing, Jenkins, HockeyApp, Appium, Perfecto, communication",full-time,1164745.0,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Postgraduate,"Computer science, Engineering services, IIS, Linux, Networking, Powershell, MIS, devops",full-time,2332750.0,6-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"Engineering services, Front end, DOM, GIT, Javascript, Agile, Software development life cycle, Technical Lead",contract,2070379.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"IT Skills, Testing, React.js, Javascript, AWS, SAN, Front end, MySQL",contract,646512.0,4-7,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"IT Skills, Testing, Performance Testing, HTML, CSS, Javascript, SAN, Debugging",full-time,,3-5,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Undergraduate,"mobile testing, application testing, API testing, IT Skills, Testing, Selenium, Cloud, Engineering services",full-time,2459507.0,4-6,Senior Technical Lead (Data Engineer)
Infostretch solutions Pvt. Ltd.,Pune,Not Specified,"GIT, Oops, WCF, SQL, JIRA, verbal, Microservices, Entity Framework",contract,2243717.0,1-4,Senior Technical Lead (Data Engineer)
CHANGE LEADERS CONSULTING,"Mumbai, Pune, Bengaluru",Undergraduate,"python, Azure data factory, Azure synapse, Azure, data analysis, analytical, modelling, Data lake gen",contract,489667.0,4-5,Azure Data Engineer/ Lead Data Engineer- ADF+ADB+Python(Brillio)
Enrich and Enlight,"Hyderabad, Pune, Chennai, Bengaluru",Undergraduate,"Azure Data Factory, Pyspark, python, Azure data engineer, Azure Databricks, Cosmo Db, Azure, Databricks Azure Data Catalog",full-time,418575.0,1-4,Job Opportunity with Leading MNC - Azure Data Engineer
Decision Point Analytics,Gurugram,Undergraduate,"IT Skills, Python, Machine Learning, Big Data, AWS, Azure, Relational Sql, Software Engineering",contract,1250251.0,5-6,Lead Data Engineer
Jubilant Foodworks,Noida,Postgraduate,Data Engineering,contract,2315687.0,6-7,Data Engineering Leader - A&I
VRIZE,Bengaluru,Postgraduate,"Data Engineering, Amazon Redshift, AWS, IT Skills, Java, Python, Data Science, MS SQL",contract,2416066.0,5-7,Data Engineer Lead - Immediate Joiner
Allegis Services India Pvt. Ltd.,Hyderabad,Undergraduate,"Datastage, Stored procedures, Troubleshooting, SQL, Python, Administration, Architecture, devops",full-time,1441649.0,5-6,Data Engineer( Datasatge/ Snowflake)
C42 Engineering India Pvt. Ltd.,Bengaluru,Postgraduate,"Product management, Backend, Machine learning, HTML, Business intelligence, Open source, Ruby, Analytics",contract,1066598.0,4-6,Data Engineer - Tech lead
Snaphunt,Bengaluru,Postgraduate,"data engineering, BI, APIs, MongoDB, MySQL, Kafka, front end, .net",contract,2379170.0,3-4,Data Engineering Lead
Onward Technologies Limited,Bengaluru,Postgraduate,"Python/NodeJS/Java, scala, spark, aws, EMR, debugging, Apache Spark, NodeJS",full-time,624528.0,7-8,Data Engineer-Scala-Lead
CBA Services Private Limited,Bengaluru,Undergraduate,"IT Skills, Project Management, BPO, customer service, project management, Product management, Change management, Software design",full-time,859955.0,3-5,Chapter Area Lead- Data engineering
Huquo Consulting Pvt. Ltd,Gurugram,Postgraduate,"Data Science, Machine Learning, Deep Learning, Tensorflow, Spark, Machine Learning Algorithm, Pytorch, verbal",full-time,2257097.0,2-6,Lead Data Science Engineer - Deep Learning
NTT Data,Pune,Not Specified,"Computer science, Linux, Coding, XML, Machine learning, JSON, Scheduling, Open source",contract,2441086.0,7-8,Data Engineer Lead
AgreeYa,Noida,Postgraduate,"IT Skills, Tableau, Business process, Data management, Analytical, SSRS, Schema, Healthcare",full-time,992242.0,3-7,Lead Data Engineer - Architect
MetrixLab,Hyderabad,Undergraduate,"Associate Analyst, Excel, Packaging, Market research, E-commerce, data visualization, Manager Quality Control, Marketing communication",full-time,2071596.0,4-6,"Associate/Analyst, Data Visualization"
T & A Solutions,Chandigarh,Postgraduate,"Excel, VLOOKUP, Analytical, Finance, Commerce, Associate Quality Analyst, Data entry",contract,1227209.0,0-2,Data Entry Associate/Quality Analyst
Protiviti Consulting,Gurugram,Undergraduate,"data analysis, data analytics, ATS, charts, Data Visualization, Dashboards",full-time,2049529.0,0-5,Associate/ Analyst- Data / MIS - TA Data Analyst
enVista,Hyderabad,Undergraduate,"QA, PDF, Associate Analyst, Data processing, QA Associate, Management, Freight, Data entry",full-time,1272293.0,4-5,"Associate Analyst, Data Processing"
Basware India Pvt Ltd,Chandigarh,Undergraduate,"IT Skills, Project Management, Digital Marketing, Power BI, BPO, project management, Automation, Business objects",full-time,941441.0,5-7,"Associate, Campaign Marketing (Data Analyst)"
Chargeback Gurus Fintech Private Limited,Chennai,Postgraduate,"MS Office, record keeping, DTP, Excel, Word, written communication, problem solving, data entry",contract,854823.0,1-5,Associate-Data Entry Analyst
enVista,Hyderabad,Postgraduate,"Relationship management, Training, Management Associate, Usage, Compliance, Relationship, Data processing, Data quality",contract,332180.0,3-5,"Associate Analyst, Data Processing"
GD Research Center Pvt Ltd,Hyderabad,Undergraduate,"Analytical skills, Associate Analyst, Data research, market data, Information research, Research, MS Office, Research Associate",full-time,1945580.0,5-6,Associate Analyst - Consumer Data Projects
CeX WeBuy Entertainment Pvt.Ltd,Mumbai,Postgraduate,"SQL queries, Associate Data Analyst, Database, Programming, PLSQL, Data quality, data privacy, Data Analyst",contract,2469579.0,6-8,Associate Data Analyst
HUSYS CONSULTING LIMITED,Hyderabad,Undergraduate,"Help Desk, Customer Service, data analysis, customer relationship, access controls, Telephony support, Asset Management, Vendor Management",contract,2270782.0,0-1,Associate Data Analyst
WebMD,Navi Mumbai,Postgraduate,"Google Analytics, Excel, MS Access, Web analytics, Analytical, Web development, Healthcare, Omniture",contract,2286725.0,5-6,Associate Data Analyst
STAFFICE GLOBAL PRIVATE LIMITED,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi NCR, Mumbai",Postgraduate,"Architecture shell, Scala, Hive, Azure Data Engineering, Spark, Agile, IT Skills, Python",full-time,,7-8,Senior Azure Data Engineer
Hewlett Packard (HP),Bengaluru,Undergraduate,"data science, cloud, algorithms, python, r, machine learning, statistics",Not Specified,1191700.0,2-4,Lead Machine Learning Scientist
Apisero,"Kolkata, Hyderabad, Pune, Chennai, Bengaluru, Delhi NCR, Mumbai",Postgraduate,"SQL, PL / SQL, CDC, sftp protocols, data Data modeling, governance, database, CSV",full-time,908022.0,1-3,Sr Data Integration Engineer
SDNA Global,"Pune, Chennai, Bengaluru, Delhi NCR",Undergraduate,"IT Skills, Cloud, Program Management, AWS, Azure, Data Engineering",Not Specified,1902714.0,4-6,Senior Manager Data Engineer
Shell,Bengaluru,Postgraduate,"IT applications support, ITIL processes, corporate IT Operations, Workflow Management, Delivery Excellence, Power Bi, SAP BW, Sap Hana",full-time,935736.0,0-4,Senior Data Engineer- DevOps
Grab,Bengaluru,Postgraduate,"Computer science, Data analysis, data services, big data analytics, Analytical, Database administration, Infrastructure, Information technology",full-time,741611.0,1-5,"Senior Software Engineer , Data Services"
HEPTAGON TECHNOLOGIES PVT LTD,"Hyderabad, Chennai, Bengaluru",Undergraduate,"cloud, Pyspark, Hadoop Development, Lambda, AWS, IT Skills, Java, Python",full-time,1736252.0,6-7,Immediate job opening For Senior Cloud Data Engineer
Oportun,Remote,Postgraduate,"Java, Python, Big Data Analytics, Data Engineering, Scala, PySpark, Kafka, Spring Boot",contract,883224.0,2-5,Senior Data Engineer
CHANGE LEADERS CONSULTING,"Pune, Chennai, Bengaluru",Not Specified,"Python, Hive, Hadoop, troubleshooting, spark, NoSQL, cloudera, Mongo",full-time,743440.0,6-8,Sr. Data Engineer
OzyBrains LLP,Remote,Undergraduate,"ETL, IT Skills, Python, Airflow, NoSQL, Data Engineering, Tsql Queries, MongoDB",full-time,1878036.0,5-6,Senior Data Engineer
Pramerica Life Insurance,Gurugram,Postgraduate,"Excel, PowerBI, Glue, SQL, S3, python, Sagemaker, DMS",full-time,2493376.0,7-8,Senior Data Engineer BIU
Sutherland Global Services Inc,Bengaluru,Not Specified,"IT Skills, Python, Big Data, Tableau, Power BI, Health insurance, Data analysis, Talent acquisition",contract,,7-8,Associate Mgr - Data Analytics
IHS Markit,Bengaluru,Undergraduate,"IT Skills, Python, Data Science, Machine Learning, Project Management, Big Data, BPO, Computer science",full-time,1065768.0,3-7,Associate Director - Data Science
Rectras Business Solutions Pvt Ltd.,"Pune, Chennai, Bengaluru",Postgraduate,"Automation, Data analysis, Prototype, Application programming, Data Architect, HTTP, JSON, Data quality",contract,381674.0,1-4,senior bigdata engineer or data architect
Moveworks,Bengaluru,Undergraduate,"IT Skills, Cloud, Senior Software Engineer, Data Platform - Bengaluru",contract,1241027.0,4-6,Senior Software Engineer Data Platform
NTS Technology Services Private Limited,Bengaluru,Postgraduate,python,contract,982590.0,6-8,Opening For Sr. Data Engineer with News Corp(product) - Bangalore
Awake Security,Bengaluru,Undergraduate,"Parquet, Java, C#, SQL, Scala, Python, IT Skills, C++",contract,,1-2,Senior Software Engineer (Data Engineering)
CME India Technology And Support Services Pvt Ltd,Bengaluru,Not Specified,"Atlassian tools, JIRA, Confluence, Java, python, Hadoop ecosystem, Scala, infrastructure automation",Not Specified,1704766.0,5-7,Sr. Software Engineer - Data Engineer
ARM Treasure Data,Bengaluru,Undergraduate,"MapReduce, AI, Python, Hive, Hadoop, Pig, Cassandra, Hivemall",contract,1060627.0,3-5,"Sr Professional Services Engineer , Data Engineer"
Verisk Analytics,Bengaluru,Undergraduate,"python, Big Data, SQL queries, S3, Glue Catalog, Hadoop ecosystem, data modelling, HDFS",full-time,2096652.0,4-5,Data Engineer ( Senior Software Engineer I)
Dev Solutions,Bengaluru,Undergraduate,"data mining, Talend, Hadoop, Spark, Hive, CICD framework, EMR, SQL",Not Specified,1488843.0,3-5,Senior Data Engineering Software Engineer
InsideView Technologies,Remote,Undergraduate,"Core Java Programming, IT Skills, Java, Python, Algorithms, Multithreading, System Design, Data Structures",contract,1697309.0,7-8,Senior Software Engineer(Data Engineering)
Pentair Water India Pvt Ltd,Noida,Postgraduate,Data Analytics,contract,,4-5,Project Engineer- Data Analytics (Data Analysis and Machine Learning)
News Technology Services,Bengaluru,Undergraduate,"Computer science, Network programming, Publishing, Project management, Agile development, Consulting, Relationship, Manager Technology",full-time,1520059.0,5-6,Sr engineering Manager - Data
Esper,Bengaluru,Undergraduate,"IT Skills, Java, Python, Big Data, Salesforce, Coding, Debugging, Healthcare",contract,1307537.0,1-3,Senior Software Development Engineer - Data
Intuitive.Cloud,Bengaluru,Not Specified,"IT Skills, Java, Big Data, Data migration, Data management, RDBMS, Consulting, Visual Studio",full-time,2065123.0,3-6,Sr. Cloud Data Engineer
Abzooba India Infotech Private Limited,Pune,Undergraduate,"scala, spark, hadoop, Big Data, Big data technologies, Hive, Java, communication",full-time,1303953.0,6-8,Senior Data Engineer | Product based MNC | Pune
Abzooba India Infotech Private Limited,Remote,Undergraduate,"scala, spark, Big Data, Big data technologies, Hive, Hadoop, Java, communication",contract,1753506.0,6-8,Urgent opening For Senior Data Engineer
Shell,Chennai,Undergraduate,"Power BI, Spotfire, Log Analysis, Microsoft Power Bi, Advanced Analytics, Information Management, Data Warehousing, HP Data Protector",Not Specified,2499674.0,3-5,Senior Process Data Engineer
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad,Undergraduate,"Pyspark, AWS",contract,534310.0,3-4,Senior Data Engineer - Data Management (Pyspark) | Advance Auto Parts
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad,Postgraduate,"Pyspark, AWS",contract,1420475.0,0-5,Senior Data Engineer - Pyspark | Advance Auto Parts
TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad,Undergraduate,"Pyspark, AWS",contract,1329984.0,4-5,Senior Data Engineer - Pyspark | Advance Auto Parts
SMI Coated Products Private Limited,"Mumbai Suburban, Mumbai",Undergraduate,"candidae shall quick learner with good communication and team skills and excellent coordination wih HOD and support staff, green belt, data analysis, candidae shall be prepared for timel, Process Excellence, Good a compuing and Excell shees is a must",full-time,2352580.0,0-2,Data Analyst Engineer
Blob Infotech Pvt Ltd,"Hyderabad, Gurugram, Bengaluru",Postgraduate,"Data Warehousing, Big Data, Data Modeling, aws, ETL, Performance Tuning, Python, SQL",full-time,793587.0,3-4,Data Engineer at Amazon
idfc first bank,Bengaluru,Undergraduate,"Data migration, Linux, Networking, Data management, RDBMS, Database design, Teradata, Troubleshooting",contract,2126155.0,6-7,Data Engineer
Exxon Mobil Corporation,Bengaluru,Postgraduate,"Change management, SAP, Visual Basic, Data management, Data modeling, Business intelligence, Information technology, Virtualization",full-time,1162006.0,0-3,Data Integration Engineer
Western Digital,Bengaluru,Postgraduate,"Data Science, R, Data Scientist, C + +, Data Mining, Product Engineering, Machine Learning, Python",full-time,1039111.0,3-4,Principal Engineer - Data Science
Razorpay,Bengaluru,Undergraduate,"metadata, NoSQL, cassandra, Analytical, Schema, Data structures, MongoDB, SQL",full-time,321025.0,5-6,Data Engineer
Educational Initiatives,Bengaluru,Undergraduate,"MapReduce, Azure, Spark, Hortonworks, Big Data, Cloudera, Hadoop, Impala",full-time,1938814.0,2-6,Data Engineer
Birlasoft,"Noida, Pune, Bengaluru",Postgraduate,"development testing, spark, ssis, Communication, Spark SQL, ETL, PowerBI, Scala",contract,2277286.0,2-7,Data Engineer
Calsoft,"Kolkata, Pune, Chennai, Bengaluru, Mumbai",Undergraduate,Data warehouse,contract,981953.0,0-1,Data Engineer
Hotstar,"Mumbai, Hyderabad, Gurugram, Bengaluru",Postgraduate,"Computer science, spark, Infrastructure, Distribution network, SDLC, Analytics, SQL, Python",full-time,334502.0,3-5,Engineering Manager - Data Engineering
Gojek,Bengaluru,Postgraduate,"Solution architecture, NoSQL, TDD, GCP, Data modeling, Agile, Programming, HTTP",contract,583278.0,5-6,Engineering Manager - Data Engineering
AutoCAD,Bengaluru,Postgraduate,"IT Skills, Python, Testing, Cloud, Jenkins, AWS, Computer science, Automation",contract,1350019.0,1-3,"Software Engineer, Data"
E&Y,Bengaluru,Postgraduate,"Data modeling, MySQL, Agile, Data structures, Oracle, Business intelligence, Troubleshooting, Open source",full-time,1301502.0,7-8,Big Data Engineer - Manager
IBM,Gurugram,Postgraduate,"Predictive modeling, SPSS, Forecasting, MATLAB, Analytics, Simulation, Machine learning, Open source",full-time,976434.0,0-2,Data Engineer
mfine,Bengaluru,Postgraduate,"Data modeling, RDBMS, MIS, MySQL, Apache, Business intelligence, Open source, Analytics",contract,2000139.0,3-4,Data Engineer Architect
MSys Tech India Pvt. Ltd.,"Pune, Chennai, Bengaluru",Postgraduate,"Data Engineering, scala, IT Skills, Java, Python, Software Development, Cloud, Big Data",contract,1681001.0,5-7,Data Engineer -MSys Technologies - WFH/Remote - Immediate Joiner
United Airlines,"Gurugram, Bengaluru",Undergraduate,"python, Big Data, Spark, IT Skills, Java, Software Development, Cloud, Oracle",full-time,1248473.0,6-8,Data Engineer
L&T Infotech (LTI),Chennai,Undergraduate,"Data Mining, Java, Analytical, Sql Database Design, Process Mining, Python, IT Skills, Predictive Modeling",contract,1046809.0,3-4,Data Engineer
Encora,"Pune, Chennai, Bengaluru",Postgraduate,"SSIS, Python, APIs, Azure Data, Kafka, factory, PySpark, MS SSIS",contract,1434897.0,4-5,Data Engineer (Azure / SSIS)
AXA Technology Services India Pvt. Ltd,Gurugram,Not Specified,"SAS, Data management, MIS, Datastage, Data structures, Informatica, microsoft, Analytics",Not Specified,1970713.0,5-6,Data Engineer
PayU,"Gurugram, Bengaluru, Mumbai",Postgraduate,"Data Ingestion, python, spark, data wrangling, data engineering, algorithms, snowflake, Django",Not Specified,1539689.0,2-4,Data Engineering Opportunity with PayU
Synechron,"Hyderabad, Pune",Postgraduate,"Hadoop, SCALA, Big Data, IT Skills, Java, Python, Cloud, Jenkins",full-time,2107689.0,7-8,Hiring Data Engineers || Hyderebad & Pune
Hexaware Technologies,"Pune, Chennai",Undergraduate,"data modeling, sql coding, data structures, ETL, CRM, relational database, Python, ERP",full-time,1381976.0,4-6,Data Engineer - Chennai/ Pune
LatentView,"Chennai, Bengaluru",Not Specified,"hive, spark, AWS, pyspark, Python, SQL",full-time,2343534.0,0-5,Manager - AWS Data Engineer
LatentView,"Chennai, Bengaluru",Postgraduate,"hive, spark, AWS, pyspark",full-time,890404.0,2-6,LatentView is Hiring For AWS Data Engineer Position @ Chennai Location
VANTAGEIQ TECHNOLOGIES (OPC) PRIVATE LIMITED,"Chennai, Bengaluru",Postgraduate,"Cassandra, Spark, AWS, SQL, Python, IT Skills, Cloud, Big Data",full-time,642627.0,3-4,Data Engineer
Michelin,Pune,Undergraduate,"BPO, data analysis, Usage, data security, Data Architect, Tool design, Data quality, data visualization",contract,1931943.0,1-4,Assistant Manager - Data Visualization Engineer
Western Digital,Bengaluru,Postgraduate,"XML, Web development, Javascript, HTTP, MVC, Apache, Open source, SQL",Not Specified,1293730.0,0-3,"Staff Engineer , Data Engineering"
Coforge,Gurugram,Not Specified,"synapse, IT Skills, Java, Python, Data Science, Machine Learning, Cloud, R",contract,1730409.0,4-6,"Hiring For Data Science Engineers @ Coforge, Gurgaon"
Deutsche Bank,Pune,Undergraduate,"Analytical, Diversity and Inclusion, Banking, Agile, German, data visualization, Business intelligence, Monitoring",full-time,722471.0,4-6,Engineer - Data Visualisation SME
VEGA Intellisoft Private Limited,Bengaluru,Not Specified,"Azure DW, ADLS2, Azure, Kafka, Spark, S3, python, azure Streams",full-time,2184547.0,3-7,Data Engineer - Data Lake Storage
VEGA Intellisoft Private Limited,Bengaluru,Postgraduate,"MS SQL, metadata, Data modeling, RDBMS, Coding, Shell scripting, Data warehousing, Operations",Not Specified,2325391.0,6-7,Data Engineer - Cloud Datawarehouse
VEGA Intellisoft Private Limited,Bengaluru,Undergraduate,"IT Skills, Python, Cloud, AWS, Tableau, Azure, customer analytics, Google Analytics",contract,1368908.0,2-7,Data Engineer - Advance Customer Analytics
MPOWER Financing,Bengaluru,Postgraduate,"Data analysis, Financial inclusion, Analytical, Data collection, Database administration, Analytics, Financial services, Monitoring",full-time,,2-7,Data Engineer
ParallelStack Sytems,Bengaluru,Undergraduate,"Wireless, Telecom, Linux, 3G, Data management, Data structures, Analytics, Monitoring",full-time,399481.0,6-7,Data Engineer - Algo
Multi Recruit,Bengaluru,Undergraduate,"Application programming, Debugging, OLAP, Business intelligence, Principal, Analytics, Monitoring, Android",contract,1243257.0,4-6,Principal Engineer - Data
Quinnox,Bengaluru,Undergraduate,etl tool,contract,1309311.0,5-6,Azure Data Engineer
HELLES TALENT SOLUTIONS PRIVATE LIMITED,"Pune, Bengaluru, Delhi NCR",Undergraduate,"SQL, Data Analysis, Data Warehousing, Data Analytics, ETL, NoSQL, Sisense, Python",full-time,,4-6,Lead Data Analyst
Neustar MarketShare,Bengaluru,Postgraduate,"Unix, Front end, Database design, MySQL, Shell scripting, OLAP, data mapping, Oracle",full-time,1337196.0,2-5,Data Engineer
Enquero,"Hyderabad, Bengaluru",Undergraduate,"Computer science, Data analysis, github, NoSQL, orchestration, Shell scripting, SCALA, Business intelligence",full-time,1286875.0,7-8,Data Engineer
Enquero,"Hyderabad, Bengaluru",Postgraduate,"github, GIT, query optimization, Data modeling, Database Fundamentals, SCALA, Hadoop, SQL",full-time,2374632.0,4-6,Data Engineer
Intelliest Technology,"Hyderabad, Chennai, Bengaluru",Undergraduate,"azure databricks, Azure, Data Factory, SCALA, Spark, CosmosDB, Shell Script, CI / CD",full-time,,4-6,Azure Data Engineer
